symbol,month,raw,raw_sha256,clean,clean_sha256,rows
BTCUSDT,2025-01,data\ticks_raw\BTCUSDT-ticks-2025-01.csv,c58f89784815143ab2fd360e7ce6a035efa911f9013695fb866bcfc810881eae,data\ticks_clean\BTCUSDT\2025-01.parquet,6509d7c1aa19152eca4c500823a7b653ee10ef3d76658bea5f387ae9c2d360e1,17692012
BTCUSDT,2025-02,data\ticks_raw\BTCUSDT-ticks-2025-02.csv,4c8e5df74f8c58325acb97ef27a4bf422f590bea43f7a693ad7436baa4234b7f,data\ticks_clean\BTCUSDT\2025-02.parquet,d9e6ddfc69a0f60d7ce41d2d31dc70c9b4bb34baf5fe095ff4a5802be6f84cc0,16395634
BTCUSDT,2025-03,data\ticks_raw\BTCUSDT-ticks-2025-03.csv,7972af13d74e7db2ded120803cec8913602b9e33e4bafefed02b30b32d2d60b6,data\ticks_clean\BTCUSDT\2025-03.parquet,6db4895fba7b3cc1a7ac086a9d038151f07b69abf6edd58a10b8f6134884da45,17795203
BTCUSDT,2025-04,data\ticks_raw\BTCUSDT-ticks-2025-04.csv,48c9466dcaf921f35aff717442261def29e84105d57669ae0ccb0adc69b25064,data\ticks_clean\BTCUSDT\2025-04.parquet,4274382f9f2f9b0e2c2e9ed54f80b1c6b2e4f29e21a0456f813b076c1572132c,13575872
BTCUSDT,2025-05,data\ticks_raw\BTCUSDT-ticks-2025-05.csv,09600db70d0540699de275507e878f7693c6f00bf253e4dc90cce2b0b2e38c0a,data\ticks_clean\BTCUSDT\2025-05.parquet,e98f6205463f46b1248973eb81b7341d6ad60a8f34d0e91d8f0d1eaaf5bbe251,13374795
BTCUSDT,2025-06,data\ticks_raw\BTCUSDT-ticks-2025-06.csv,4e3f8b861c0746d917e909eec7bf264f21d54e54690b090fd60b5de396a7567d,data\ticks_clean\BTCUSDT\2025-06.parquet,aa645068f83964ef397522bfef31def4e61975d6220a83c20ab02a1f0a0a5153,10572775
SOLUSDT,2025-01,data\ticks_raw\SOLUSDT-ticks-2025-01.csv,49c103e95b6bb5e78612733a1ea3d47bd7996d0b585e42c85e2bd163eb278094,data\ticks_clean\SOLUSDT\2025-01.parquet,5997945bfc9e148972c1e606a179c48b6ad804da0bdaf7489dc0daea9e88a7a1,6775198
SOLUSDT,2025-02,data\ticks_raw\SOLUSDT-ticks-2025-02.csv,7f6ba46315cd5a037de0ef7f0d8a1ef0778ef1e4ef19b9ecf53cb1a227892a16,data\ticks_clean\SOLUSDT\2025-02.parquet,a2bf4deb424d840771d9c0ced0a9a2f367187a87c8f029e235714ab5aeafca53,3959439
SOLUSDT,2025-03,data\ticks_raw\SOLUSDT-ticks-2025-03.csv,12275a134a5abe5c91750db5e25133bd7a12bb9748167da98d678937ac48f067,data\ticks_clean\SOLUSDT\2025-03.parquet,70bc6f379e57dd6cdec3dede6432648eed4638fb2ea442e605fbe61c5bba3584,3085191
SOLUSDT,2025-04,data\ticks_raw\SOLUSDT-ticks-2025-04.csv,f4b25288101683734ebf250d4fc71ff1252d385d3024ffd98de778ac1b0309b6,data\ticks_clean\SOLUSDT\2025-04.parquet,e22b5db3d7cd033a6b21692f1e80b1e42066e75b86563db687ef3029158830b4,2511761
SOLUSDT,2025-05,data\ticks_raw\SOLUSDT-ticks-2025-05.csv,5b6c821620a4011552396ceb6543a184be8c070b3d402973c23cfba951ef18fd,data\ticks_clean\SOLUSDT\2025-05.parquet,197aec4ab9f067abb3ddb29a0b5120e52e92d88434b22fb2ccbc7b98eba1eb1d,2792774
SOLUSDT,2025-06,data\ticks_raw\SOLUSDT-ticks-2025-06.csv,f330590abb66a80e96e62c729c9735def58781bb48be7503d8a701d816ec6596,data\ticks_clean\SOLUSDT\2025-06.parquet,f60bc203d8c2fd46af2c5a34bc9158323a780b9fc9d748656ca8e2eef8920495,2218797
ETHUSDT,2025-01,data\ticks_raw\ETHUSDT-ticks-2025-01.csv,18f3a562252b363482fc3bba2b5c9315c2273865b7290068a744286c31237ac4,data\ticks_clean\ETHUSDT\2025-01.parquet,2181a4c379a25459786c2a2def1914d312daf3da8285318240f0d0e2738e7e2d,10202606
